published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-03-18,1344.00,1353.00,1313.00,1318.00,-1.57,33899.00,45011610.10,-1,1
2025-03-17,1340.00,1360.00,1320.00,1339.00,-0.45,27886.00,37376039.20,-1,2
2025-03-16,1370.20,1380.00,1336.10,1345.00,-3.38,25085.00,33937946.00,-1,3
2025-03-12,1385.90,1409.00,1340.00,1392.00,2.36,34591.00,47871038.50,1,4
2025-03-11,1432.90,1432.90,1351.00,1359.90,-3.21,28254.00,38914805.70,-1,5
2025-03-10,1410.00,1450.00,1400.00,1405.00,-2.02,32581.00,46068469.70,-1,6
2025-03-09,1460.20,1470.00,1403.20,1434.00,-3.76,99738.00,143676264.00,-1,7
2025-03-06,1491.10,1518.00,1488.00,1490.00,-0.67,27044.00,40515592.50,-1,8
2025-03-05,1525.00,1539.00,1496.10,1500.00,-0.79,32789.00,49524339.40,-1,9
2025-03-04,1560.00,1565.00,1505.00,1512.00,-2.39,60429.00,92767027.40,-1,10
2025-03-03,1590.00,1600.00,1545.00,1549.00,-1.65,46062.00,71983273.90,-1,11
2025-03-02,1520.00,1580.00,1511.30,1575.00,3.28,63071.00,97872626.20,1,12
2025-02-27,1500.00,1545.50,1490.00,1525.00,2.42,46797.00,71108794.40,1,13
2025-02-25,1531.00,1531.00,1483.00,1489.00,-2.04,35380.00,53139678.90,-1,14
2025-02-24,1554.00,1557.50,1505.80,1520.00,-0.46,70092.00,107617179.50,-1,15
2025-02-23,1480.00,1558.90,1465.00,1527.00,1.33,78937.00,119826132.40,1,16
2025-02-20,1520.00,1549.00,1491.10,1507.00,-0.92,52605.00,79949152.50,-1,17
2025-02-18,1460.00,1560.00,1459.00,1521.00,4.25,86272.00,130199706.30,1,18
2025-02-17,1446.00,1470.00,1445.00,1459.00,0.97,33922.00,49504680.20,1,19
2025-02-16,1441.00,1465.90,1441.00,1445.00,0.28,33870.00,49135170.60,1,20
2025-02-13,1426.00,1490.00,1426.00,1441.00,-0.96,41746.00,60738065.60,-1,21
2025-02-12,1430.00,1489.00,1406.00,1455.00,3.49,71366.00,103801778.50,1,22
2025-02-11,1407.70,1417.00,1371.00,1406.00,1.88,26992.00,37888221.70,1,23
2025-02-10,1410.00,1415.00,1380.10,1380.10,-1.56,30188.00,42137424.60,-1,24
2025-02-09,1400.00,1435.00,1400.00,1402.00,-0.92,48311.00,68116468.20,-1,25
2025-02-06,1456.30,1456.30,1405.10,1415.00,-0.98,31714.00,45018999.40,-1,26
2025-02-05,1430.00,1436.00,1415.00,1429.00,-0.14,29335.00,41827491.90,-1,27
2025-02-04,1460.00,1460.00,1430.00,1431.00,-0.41,41145.00,59369544.10,-1,28
2025-02-03,1488.00,1488.00,1430.00,1436.90,-2.12,38268.00,55529682.70,-1,29
2025-02-02,1439.90,1474.00,1420.00,1468.00,3.75,63886.00,93104462.30,1,30
2025-01-28,1438.00,1438.00,1400.00,1415.00,0.00,48835.00,68689103.60,0,31
2025-01-27,1380.00,1428.00,1380.00,1415.00,1.80,54452.00,76666540.70,1,32
2025-01-26,1400.00,1410.00,1376.10,1390.00,0.37,38675.00,54001325.60,1,33
2025-01-23,1400.10,1427.80,1375.20,1384.90,-1.30,31725.00,44329291.40,-1,34
2025-01-22,1380.00,1420.00,1370.00,1403.20,2.80,57298.00,80371030.30,1,35
2025-01-21,1303.40,1381.00,1303.40,1365.00,2.63,43608.00,59538808.70,1,36
2025-01-20,1348.00,1348.00,1316.00,1330.00,0.54,19079.00,25328480.60,1,37
2025-01-19,1340.00,1340.00,1314.50,1322.90,0.05,7453.00,9866886.90,1,38
2025-01-16,1360.00,1360.00,1322.10,1322.20,-1.70,18819.00,25102078.70,-1,39
2025-01-15,1350.00,1380.00,1341.20,1345.00,0.38,19702.00,26716519.90,1,40
2025-01-13,1336.00,1355.00,1316.00,1339.90,-1.41,14143.00,18886078.60,-1,41
2025-01-12,1350.00,1359.00,1330.00,1359.00,0.35,13728.00,18353184.00,1,42
2025-01-09,1380.00,1380.00,1345.00,1354.30,-1.14,17455.00,23626643.10,-1,43
2025-01-08,1370.00,1380.00,1353.00,1369.90,0.07,13100.00,17923003.70,1,44
2025-01-07,1404.00,1404.00,1350.00,1368.90,-0.59,17362.00,23696128.70,-1,45
2025-01-06,1301.00,1377.00,1301.00,1377.00,4.64,31959.00,43067276.90,1,46
2025-01-05,1330.00,1330.00,1301.50,1316.00,-0.23,10242.00,13388500.90,-1,47
2025-01-02,1320.00,1328.00,1307.00,1319.00,-0.30,12768.00,16815287.70,-1,48
2025-01-01,1344.90,1344.90,1301.50,1323.00,0.23,6607.00,8703391.40,1,49
2024-12-31,1355.00,1355.00,1300.00,1320.00,-2.58,15680.00,20647338.10,-1,50
2024-12-29,1344.00,1370.00,1326.00,1355.00,0.82,15268.00,20559002.20,1,51
2024-12-26,1326.40,1350.00,1320.00,1344.00,-0.59,13344.00,17697792.30,-1,52
2024-12-24,1349.00,1369.00,1326.00,1352.00,1.65,14394.00,19409694.90,1,53
2024-12-23,1340.00,1340.00,1318.10,1330.00,0.54,8929.00,11826341.40,1,54
2024-12-22,1300.00,1333.00,1300.00,1322.90,0.75,6582.00,8699997.30,1,55
2024-12-19,1346.10,1355.00,1311.30,1313.00,-3.10,28802.00,38355081.80,-1,56
2024-12-18,1370.00,1370.00,1345.00,1355.00,0.44,12958.00,17497570.40,1,57
2024-12-17,1348.00,1375.00,1348.00,1349.00,-0.81,7185.00,9731931.40,-1,58
2024-12-16,1360.30,1375.00,1350.00,1360.00,-1.63,24483.00,33313470.90,-1,59
2024-12-12,1408.00,1436.00,1382.00,1382.60,-2.98,18277.00,25574183.20,-1,60
2024-12-11,1398.00,1425.00,1393.00,1425.00,1.06,12160.00,17053363.30,1,61
2024-12-10,1419.00,1439.00,1391.50,1410.00,-0.28,10261.00,14434673.70,-1,62
2024-12-09,1388.00,1420.00,1383.00,1414.00,1.36,24862.00,34610597.20,1,63
2024-12-08,1457.00,1457.00,1390.00,1395.00,-2.38,26319.00,37136926.70,-1,64
2024-12-05,1485.00,1485.00,1422.00,1429.00,-2.79,19344.00,27905191.60,-1,65
2024-12-04,1485.00,1499.00,1463.00,1470.00,-1.07,18175.00,26800905.00,-1,66
2024-12-03,1510.00,1510.00,1465.00,1485.90,-0.28,30642.00,45296347.00,-1,67
2024-12-02,1530.00,1530.00,1475.00,1490.00,-0.67,28054.00,41750586.80,-1,68
2024-12-01,1500.10,1530.00,1481.70,1500.00,-0.78,30009.00,44959604.00,-1,69
2024-11-28,1549.00,1565.00,1511.50,1511.80,-2.15,29968.00,45945689.70,-1,70
2024-11-27,1522.10,1566.00,1522.10,1545.00,0.46,32355.00,49900223.60,1,71
2024-11-26,1590.00,1590.00,1510.30,1538.00,-2.04,46563.00,72242858.70,-1,72
2024-11-25,1480.00,1574.00,1480.00,1570.00,4.81,97384.00,150865836.10,1,73
2024-11-24,1431.00,1510.00,1431.00,1498.00,3.03,69520.00,103097649.90,1,74
2024-11-21,1479.00,1479.00,1416.00,1454.00,-0.03,24447.00,34981401.10,-1,75
2024-11-20,1420.00,1454.50,1410.00,1454.50,2.29,23473.00,33562275.80,1,76
2024-11-19,1473.00,1479.00,1422.00,1422.00,-3.27,36148.00,52402720.30,-1,77
2024-11-17,1469.90,1488.00,1445.00,1470.00,1.38,37573.00,55031778.50,1,78
2024-11-14,1426.00,1460.00,1426.00,1450.00,1.40,32033.00,46337807.80,1,79
2024-11-13,1460.00,1470.00,1425.00,1430.00,-2.05,26059.00,37687696.40,-1,80
2024-11-12,1440.00,1468.00,1425.90,1460.00,1.39,32745.00,47391112.80,1,81
2024-11-11,1366.00,1440.00,1366.00,1440.00,5.88,51968.00,73799964.80,1,82
2024-11-10,1331.20,1360.00,1330.30,1360.00,2.33,28201.00,38090632.60,1,83
2024-11-06,1330.00,1337.20,1310.00,1329.00,-0.08,10086.00,13345038.60,-1,84
2024-11-05,1324.90,1351.00,1310.00,1330.00,0.38,11063.00,14682823.40,1,85
2024-10-30,1340.00,1352.90,1321.00,1325.00,-1.12,13238.00,17664645.80,-1,86
2024-10-29,1332.00,1365.00,1332.00,1340.00,1.13,20146.00,27180371.10,1,87
2024-10-28,1341.30,1365.00,1315.00,1325.00,0.76,11180.00,14789316.00,1,88
2024-10-27,1323.00,1340.00,1307.00,1315.00,-0.75,14875.00,19539785.70,-1,89
2024-10-24,1346.00,1346.00,1309.00,1325.00,-1.56,16134.00,21349122.40,-1,90
2024-10-23,1335.00,1367.00,1320.00,1346.00,2.83,35945.00,48135013.10,1,91
2024-10-22,1375.00,1445.00,1375.00,1439.90,2.92,42715.00,61217259.80,1,92
2024-10-21,1402.10,1438.00,1395.00,1399.00,-1.82,24816.00,34922786.70,-1,93
2024-10-20,1430.10,1462.00,1410.00,1425.00,-2.33,27005.00,38811184.30,-1,94
2024-10-17,1498.00,1498.90,1459.00,1459.00,-1.61,22318.00,33047493.30,-1,95
2024-10-16,1470.00,1485.00,1460.00,1482.80,2.69,26275.00,38736456.60,1,96
2024-10-15,1423.00,1453.50,1422.00,1444.00,1.69,15644.00,22500528.20,1,97
2024-10-09,1455.00,1455.00,1407.00,1420.00,-0.49,18225.00,25834748.90,-1,98
2024-10-08,1460.00,1460.00,1426.30,1427.00,-1.92,17483.00,25052341.90,-1,99
2024-10-07,1450.00,1498.00,1435.00,1455.00,0.83,40335.00,59064491.20,1,100
2024-10-06,1415.00,1456.00,1406.00,1443.00,0.91,32564.00,46644300.00,1,101
2024-10-02,1480.00,1481.00,1415.30,1430.00,-3.31,42109.00,60774681.00,-1,102
2024-10-01,1372.00,1479.00,1370.00,1479.00,8.83,39100.00,55689454.60,1,103
2024-09-30,1244.10,1359.00,1244.10,1359.00,7.10,56454.00,74930193.30,1,104
2024-09-29,1256.00,1302.00,1245.00,1268.90,-0.94,34209.00,43173716.80,-1,105
2024-09-26,1348.00,1350.00,1280.00,1281.00,-3.17,32472.00,42488169.80,-1,106
2024-09-25,1329.00,1367.00,1295.00,1323.00,1.38,24019.00,32036086.60,1,107
2024-09-24,1351.00,1400.00,1300.10,1305.00,-4.47,36300.00,48659280.60,-1,108
2024-09-23,1398.00,1420.00,1366.00,1366.00,-3.73,34290.00,47485098.70,-1,109
2024-09-22,1443.00,1500.00,1398.10,1418.90,0.28,43890.00,62808744.00,1,110
2024-09-18,1418.00,1465.00,1400.00,1415.00,-0.21,30876.00,43855359.60,-1,111
2024-09-16,1460.00,1479.00,1418.00,1418.00,-4.18,48930.00,70632590.10,-1,112
2024-09-15,1588.00,1588.00,1455.50,1479.90,-6.81,117369.00,178517127.20,-1,113
2024-09-12,1546.00,1610.00,1540.00,1588.10,2.72,104658.00,166130336.10,1,114
2024-09-11,1540.00,1586.00,1515.00,1546.00,0.59,62051.00,96539360.40,1,115
2024-09-10,1590.00,1619.00,1506.00,1537.00,-1.79,66539.00,103991732.00,-1,116
2024-09-09,1430.00,1579.60,1429.00,1565.00,8.98,156964.00,239272872.40,1,117
2024-09-08,1420.00,1499.90,1400.00,1436.00,2.56,53159.00,77809477.50,1,118
2024-09-05,1415.00,1439.00,1386.70,1400.20,-1.05,45004.00,63165095.20,-1,119
2024-09-04,1460.00,1505.00,1406.00,1415.00,-4.65,45284.00,65997980.60,-1,120
2024-09-03,1528.00,1528.00,1475.00,1484.00,-1.00,43326.00,65013984.10,-1,121
2024-09-02,1415.00,1499.00,1400.00,1499.00,7.84,49102.00,71020715.10,1,122
2024-09-01,1449.90,1475.00,1380.10,1390.00,-2.52,52947.00,74780444.20,-1,123
2024-08-29,1434.00,1485.10,1406.00,1426.00,-0.28,44339.00,63833349.00,-1,124
2024-08-28,1480.00,1510.00,1415.00,1430.00,-1.46,39240.00,57402491.90,-1,125
2024-08-27,1510.00,1526.00,1450.50,1451.20,-3.32,62731.00,92818145.50,-1,126
2024-08-25,1576.10,1576.10,1501.00,1501.10,-2.97,68209.00,104477983.10,-1,127
2024-08-22,1605.00,1623.00,1540.10,1547.00,-2.89,47548.00,75211467.60,-1,128
2024-08-21,1550.00,1630.00,1521.00,1593.00,3.31,87193.00,139027487.40,1,129
2024-08-18,1593.00,1600.00,1533.90,1542.00,-3.21,65802.00,102820099.00,-1,130
2024-08-15,1683.00,1683.00,1590.00,1593.20,-3.44,94345.00,152594305.00,-1,131
2024-08-14,1690.10,1790.00,1629.00,1650.00,-0.42,121664.00,204864618.00,-1,132
2024-08-13,1564.00,1719.00,1510.00,1657.00,5.95,128553.00,205683008.10,1,133
2024-08-12,1578.00,1610.00,1563.10,1564.00,-0.89,75984.00,120047092.80,-1,134
2024-08-11,1601.40,1626.00,1570.00,1578.00,0.51,90835.00,144960162.20,1,135
2024-08-08,1670.00,1710.00,1563.10,1570.00,-4.56,127178.00,202655048.30,-1,136
2024-08-07,1600.00,1698.00,1575.00,1645.00,2.63,116558.00,192179649.60,1,137
2024-08-06,1816.00,1816.00,1602.90,1602.90,-10.00,200293.00,337882552.20,-1,138
2024-08-05,1652.40,1781.00,1631.00,1781.00,9.94,163637.00,281425610.90,1,139
2024-08-01,1672.80,1729.00,1565.00,1620.00,-1.22,197986.00,325051566.00,-1,140
2024-07-31,1580.00,1737.50,1580.00,1640.00,3.82,144625.00,244384470.70,1,141
2024-07-30,1436.90,1580.50,1430.00,1579.60,9.93,107565.00,163115374.00,1,142
2024-07-29,1381.10,1480.00,1350.00,1436.90,6.11,145616.00,209591849.60,1,143
2024-07-28,1255.60,1354.10,1230.50,1354.10,10.00,212001.00,279707451.30,1,144
2024-07-25,1285.20,1297.00,1216.10,1231.00,-2.30,102097.00,126727699.40,-1,145
2024-07-24,1210.00,1305.50,1210.00,1260.00,6.16,175829.00,223578627.40,1,146
2024-07-23,1070.00,1186.90,1070.00,1186.90,10.00,100641.00,116337645.30,1,147
2024-07-22,1076.00,1091.00,1058.00,1079.00,0.28,84035.00,90094350.10,1,148
2024-07-21,1090.00,1100.00,1059.00,1076.00,-0.37,79354.00,85843138.30,-1,149
2024-07-18,1079.00,1119.00,1056.00,1080.00,1.22,116913.00,127593009.40,1,150
2024-07-17,1004.20,1078.00,1004.20,1067.00,4.14,99977.00,104673219.90,1,151
2024-07-16,1013.00,1045.00,1011.00,1024.60,1.15,57867.00,59458226.20,1,152
2024-07-15,1050.00,1050.00,1012.00,1013.00,-1.65,87437.00,89468396.20,-1,153
2024-07-14,1040.40,1080.00,1023.00,1030.00,0.98,70746.00,73688773.20,1,154
2024-07-11,1038.90,1045.00,1014.00,1020.00,-0.34,76776.00,78456184.30,-1,155
2024-07-10,989.00,1033.80,989.00,1023.50,3.91,148103.00,150899859.40,1,156
2024-07-09,945.00,985.00,940.00,985.00,3.79,92026.00,89067447.40,1,157
2024-07-08,970.00,970.00,945.00,949.00,-1.15,41376.00,39501592.40,-1,158
2024-07-07,930.00,969.00,930.00,960.00,3.56,91842.00,87671138.50,1,159
2024-07-04,930.10,949.00,926.00,927.00,0.22,38906.00,36321988.90,1,160
2024-07-03,933.00,933.80,916.00,925.00,-0.86,17142.00,15823353.10,-1,161
2024-07-02,924.00,970.00,924.00,933.00,0.97,46607.00,43662595.20,1,162
2024-07-01,917.10,932.00,913.20,924.00,0.64,20116.00,18595173.70,1,163
2024-06-30,906.20,937.30,906.20,918.10,-0.10,43495.00,40297255.50,-1,164
2024-06-27,920.00,937.00,915.00,919.00,-0.86,33542.00,31054122.30,-1,165
2024-06-26,944.00,962.00,923.10,927.00,-2.11,83888.00,78930494.70,-1,166
