published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-03-06,1285.00,1309.00,1275.00,1283.00,0.86,80408.00,103600348.50,1,1
2025-03-05,1315.00,1315.00,1268.00,1272.00,-3.28,111138.00,142738855.50,-1,2
2025-03-04,1392.30,1392.30,1315.00,1315.20,-3.65,105536.00,140909161.60,-1,3
2025-03-03,1356.40,1400.00,1352.00,1365.00,2.64,263168.00,363784983.40,1,4
2025-03-02,1233.00,1329.90,1210.00,1329.90,10.00,190562.00,243816602.10,1,5
2025-02-27,1215.80,1225.00,1196.10,1209.00,1.43,53986.00,65032313.30,1,6
2025-02-25,1193.00,1200.00,1185.40,1192.00,-0.08,48378.00,57706682.10,-1,7
2025-02-24,1193.00,1200.00,1190.00,1193.00,0.00,33587.00,40115244.10,0,8
2025-02-23,1183.90,1198.00,1175.00,1193.00,-0.08,39726.00,47320906.00,-1,9
2025-02-20,1210.00,1210.00,1192.00,1194.00,0.06,20520.00,24532989.20,1,10
2025-02-18,1200.00,1205.00,1192.20,1193.30,0.19,37849.00,45379109.30,1,11
2025-02-17,1187.00,1200.00,1187.00,1191.00,0.34,28262.00,33728758.40,1,12
2025-02-16,1212.70,1212.70,1185.00,1187.00,-0.17,32253.00,38409958.60,-1,13
2025-02-13,1209.00,1209.00,1185.00,1189.00,-0.52,31079.00,36940341.80,-1,14
2025-02-12,1232.00,1232.00,1191.30,1195.20,-1.06,29842.00,35881190.50,-1,15
2025-02-11,1216.80,1241.00,1200.00,1208.00,1.26,68395.00,82933826.90,1,16
2025-02-10,1196.00,1200.00,1187.00,1193.00,-0.08,23264.00,27697301.20,-1,17
2025-02-09,1198.00,1205.00,1190.10,1194.00,-0.33,27673.00,33098927.20,-1,18
2025-02-06,1210.00,1210.00,1181.10,1198.00,-0.33,56538.00,67348051.30,-1,19
2025-02-05,1210.00,1228.90,1199.10,1202.00,-1.23,44430.00,53790309.40,-1,20
2025-02-04,1256.60,1256.60,1210.00,1217.00,-1.22,41508.00,50904525.90,-1,21
2025-02-03,1200.00,1244.40,1191.50,1232.00,3.53,78357.00,95943993.40,1,22
2025-02-02,1156.00,1192.00,1150.00,1190.00,2.99,50996.00,59876313.50,1,23
2025-01-28,1160.00,1169.90,1155.00,1155.50,-0.29,33458.00,38784407.30,-1,24
2025-01-27,1178.00,1178.00,1156.00,1158.90,-0.27,22290.00,25821647.20,-1,25
2025-01-26,1168.00,1175.00,1156.00,1162.00,-0.56,18292.00,21344427.40,-1,26
2025-01-23,1204.60,1204.60,1165.00,1168.50,-1.06,20051.00,23620270.40,-1,27
2025-01-22,1189.90,1192.90,1171.00,1181.00,0.94,27501.00,32485443.70,1,28
2025-01-21,1164.00,1180.00,1164.00,1170.00,0.86,23387.00,27444973.80,1,29
2025-01-20,1152.90,1161.00,1140.00,1160.00,1.49,32256.00,37021641.70,1,30
2025-01-19,1150.00,1158.00,1136.00,1143.00,0.09,26902.00,30754122.00,1,31
2025-01-16,1157.00,1180.00,1142.00,1142.00,-1.37,36499.00,41950789.30,-1,32
2025-01-15,1160.20,1177.70,1154.00,1157.90,0.16,21571.00,25022807.50,1,33
2025-01-13,1160.00,1176.40,1155.00,1156.00,-0.36,30750.00,35685358.10,-1,34
2025-01-12,1200.50,1200.50,1160.20,1160.20,-1.43,20874.00,24450676.70,-1,35
2025-01-09,1200.00,1200.00,1176.10,1177.00,-1.18,31237.00,36943184.20,-1,36
2025-01-08,1218.90,1218.90,1190.10,1191.00,-0.33,24199.00,28928647.40,-1,37
2025-01-07,1205.00,1205.00,1193.10,1195.00,-0.28,31411.00,37596706.00,-1,38
2025-01-06,1205.00,1208.00,1194.00,1198.40,0.20,39488.00,47276922.60,1,39
2025-01-05,1200.00,1231.00,1190.00,1196.00,1.06,73273.00,87861615.20,1,40
2025-01-02,1386.10,1386.10,1359.00,1361.00,0.15,87034.00,118587708.70,1,41
2025-01-01,1358.90,1384.10,1350.00,1359.00,0.15,29771.00,40402256.40,1,42
2024-12-31,1393.30,1393.30,1351.00,1357.00,-0.66,41178.00,56041462.80,-1,43
2024-12-29,1367.00,1384.00,1365.00,1366.00,0.15,46258.00,63349352.90,1,44
2024-12-26,1325.00,1370.00,1325.00,1364.00,1.11,41025.00,55815634.70,1,45
2024-12-24,1353.00,1355.00,1345.00,1349.00,0.36,31452.00,42435274.40,1,46
2024-12-23,1352.00,1352.00,1336.00,1344.10,0.68,21622.00,29011036.10,1,47
2024-12-22,1307.40,1351.00,1307.40,1335.00,0.07,43485.00,58116149.10,1,48
2024-12-19,1333.00,1348.00,1329.00,1334.00,-0.07,23779.00,31708741.90,-1,49
2024-12-18,1350.00,1350.00,1331.00,1335.00,-0.30,24392.00,32618290.70,-1,50
2024-12-17,1324.00,1350.00,1323.10,1339.00,1.02,33508.00,44699424.20,1,51
2024-12-16,1353.10,1360.00,1320.20,1325.50,-1.81,46468.00,61927269.55,-1,52
2024-12-12,1392.30,1392.30,1350.00,1350.00,-1.10,46380.00,62981905.50,-1,53
2024-12-11,1368.00,1375.00,1350.00,1365.00,-0.22,35830.00,48694094.50,-1,54
2024-12-10,1408.60,1408.60,1360.00,1368.00,-0.94,81507.00,112766108.80,-1,55
2024-12-09,1329.00,1400.00,1320.00,1381.00,5.99,204307.00,279150633.50,1,56
2024-12-08,1311.00,1315.00,1299.10,1303.00,-0.46,42985.00,56176903.40,-1,57
2024-12-05,1320.00,1327.70,1307.00,1309.00,-0.61,40780.00,53713679.80,-1,58
2024-12-04,1340.20,1340.20,1315.00,1317.00,0.23,30118.00,39728334.20,1,59
2024-12-03,1314.00,1330.00,1310.10,1314.00,-0.30,30446.00,40117606.80,-1,60
2024-12-02,1324.00,1338.00,1318.00,1318.00,-0.38,26548.00,35138125.50,-1,61
2024-12-01,1338.10,1338.10,1312.50,1323.00,-1.13,28601.00,37886997.70,-1,62
2024-11-28,1366.00,1366.70,1338.10,1338.10,-0.14,34288.00,46208864.60,-1,63
2024-11-27,1350.00,1352.00,1332.00,1340.00,0.60,25391.00,34067460.60,1,64
2024-11-26,1331.10,1332.00,1305.00,1332.00,2.07,27897.00,36722350.40,1,65
2024-11-25,1310.00,1324.00,1300.00,1305.00,-0.30,31011.00,40549494.90,-1,66
2024-11-24,1320.00,1340.00,1301.00,1308.90,-0.69,28728.00,37682652.30,-1,67
2024-11-21,1344.90,1345.00,1315.40,1318.00,-1.05,26459.00,35064889.90,-1,68
2024-11-20,1330.00,1336.00,1316.30,1332.00,0.15,23772.00,31618512.80,1,69
2024-11-19,1357.00,1360.00,1326.10,1330.00,-1.99,38695.00,51807040.70,-1,70
2024-11-17,1377.00,1377.00,1350.00,1357.00,-0.29,52328.00,71068966.20,-1,71
2024-11-14,1368.00,1374.90,1360.30,1361.00,-0.22,24182.00,33033903.00,-1,72
2024-11-13,1402.50,1402.50,1363.00,1364.00,-0.80,18853.00,25828165.70,-1,73
2024-11-12,1412.70,1412.70,1371.00,1375.00,-0.72,36651.00,50872681.10,-1,74
2024-11-11,1408.60,1408.60,1370.10,1385.00,0.29,45829.00,63656521.20,1,75
2024-11-10,1390.00,1390.00,1365.00,1381.00,1.02,40659.00,55782540.10,1,76
2024-11-06,1384.10,1384.10,1350.80,1367.00,0.74,31870.00,43445951.20,1,77
2024-11-05,1375.90,1375.90,1350.10,1357.00,-0.59,24975.00,34057788.50,-1,78
2024-10-30,1375.00,1375.00,1356.10,1365.00,-1.05,29114.00,39705487.40,-1,79
2024-10-29,1350.00,1380.00,1350.00,1379.50,1.43,27916.00,38226216.90,1,80
2024-10-28,1360.00,1364.00,1346.00,1360.00,0.59,31908.00,43183923.60,1,81
2024-10-27,1384.00,1385.90,1346.20,1352.00,-2.31,46397.00,63013797.50,-1,82
2024-10-24,1430.00,1430.00,1373.00,1384.00,-2.74,83211.00,115408215.30,-1,83
2024-10-23,1401.40,1470.00,1401.40,1423.00,3.57,139511.00,199067871.60,1,84
2024-10-22,1312.00,1387.00,1300.00,1374.00,4.73,56985.00,75944956.50,1,85
2024-10-21,1342.00,1342.00,1304.90,1312.00,-2.24,47746.00,62955724.50,-1,86
2024-10-20,1390.20,1390.20,1327.00,1342.00,-1.54,59324.00,80119712.30,-1,87
