published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-03-05,509.50,509.50,498.50,499.00,-1.58,66686.00,33396397.30,-1,1
2025-03-04,520.00,520.00,504.00,507.00,-1.55,116499.00,59229782.70,-1,2
2025-03-03,523.00,529.20,515.00,515.00,-0.77,110922.00,57782578.40,-1,3
2025-03-02,511.80,519.00,506.00,519.00,3.43,114489.00,58797746.20,1,4
2025-02-27,498.70,518.00,498.00,501.80,2.62,123140.00,61837235.80,1,5
2025-02-25,490.00,490.00,488.00,489.00,0.00,36470.00,17831334.20,0,6
2025-02-24,490.00,495.00,488.50,489.00,-0.18,63464.00,31139937.70,-1,7
2025-02-23,485.10,495.00,485.10,489.90,-1.01,84304.00,41366659.70,-1,8
2025-02-20,486.10,503.80,486.10,494.90,-0.22,44322.00,21943112.10,-1,9
2025-02-18,500.00,500.00,494.00,496.00,0.40,60431.00,30012969.00,1,10
2025-02-17,487.00,495.90,485.30,494.00,1.44,70310.00,34507660.80,1,11
2025-02-16,486.80,488.30,482.90,487.00,0.31,53350.00,25859337.70,1,12
2025-02-13,488.00,490.00,482.10,485.50,0.10,40707.00,19745431.70,1,13
2025-02-12,487.00,487.00,482.10,485.00,-0.41,51961.00,25163981.50,-1,14
2025-02-11,492.00,492.00,486.00,487.00,-0.61,29647.00,14448351.10,-1,15
2025-02-10,486.50,490.00,484.00,490.00,0.76,51838.00,25208899.60,1,16
2025-02-09,495.00,495.00,485.00,486.30,-0.08,49012.00,23879846.40,-1,17
2025-02-06,494.00,495.00,486.00,486.70,-0.67,50451.00,24674687.80,-1,18
2025-02-05,491.10,493.00,489.50,490.00,-0.61,70028.00,34368058.90,-1,19
2025-02-04,500.00,500.00,490.00,493.00,-0.58,53987.00,26637510.80,-1,20
2025-02-03,492.00,503.00,491.40,495.90,0.92,109341.00,54412930.60,1,21
2025-02-02,479.00,493.40,476.10,491.40,3.24,105241.00,51266050.70,1,22
2025-01-28,478.00,481.00,475.00,476.00,-0.73,108959.00,51900828.70,-1,23
2025-01-27,481.00,483.00,477.20,479.50,-0.56,62150.00,29773335.50,-1,24
2025-01-26,492.00,492.00,482.10,482.20,-1.19,54531.00,26437625.30,-1,25
2025-01-23,490.00,492.00,485.30,488.00,0.41,51932.00,25366955.60,1,26
2025-01-22,483.00,488.80,483.00,486.00,0.54,62780.00,30483036.60,1,27
2025-01-21,484.00,489.00,480.30,483.40,-0.23,50098.00,24175213.00,-1,28
2025-01-20,490.00,495.00,482.20,484.50,-0.76,82199.00,39945308.90,-1,29
2025-01-19,489.00,497.00,485.00,488.20,-0.18,52392.00,25518159.50,-1,30
2025-01-16,490.00,495.00,487.00,489.10,-0.08,51859.00,25336426.10,-1,31
2025-01-15,492.10,494.00,489.00,489.50,0.00,52957.00,25994163.70,0,32
2025-01-13,491.00,496.00,489.50,489.50,-0.22,86269.00,42428502.50,-1,33
2025-01-12,505.40,505.40,490.00,490.60,-0.99,46984.00,23132116.90,-1,34
2025-01-09,499.00,500.00,494.00,495.50,-0.68,138476.00,68774076.30,-1,35
2025-01-08,510.00,510.00,497.00,498.90,-0.22,74206.00,36998891.80,-1,36
2025-01-07,499.00,504.00,498.00,500.00,0.20,64195.00,32074731.10,1,37
2025-01-06,501.50,501.50,498.00,499.00,0.00,102420.00,51118470.50,0,38
2025-01-05,502.00,504.00,498.00,499.00,-0.06,67379.00,33640202.30,-1,39
2025-01-02,502.00,502.00,499.00,499.30,-0.42,43634.00,21812724.40,-1,40
2025-01-01,502.00,502.90,500.00,501.40,-0.12,29808.00,14928274.40,-1,41
2024-12-31,512.70,512.70,498.00,502.00,-0.14,53222.00,26562216.30,-1,42
2024-12-29,504.10,508.90,499.00,502.70,0.14,64296.00,32322538.00,1,43
2024-12-26,511.00,511.00,498.00,502.00,0.20,127622.00,64123331.60,1,44
2024-12-24,503.00,506.00,499.10,501.00,0.00,66517.00,33391369.20,0,45
2024-12-23,502.90,502.90,498.00,501.00,-0.38,86473.00,43272734.60,-1,46
2024-12-22,497.90,511.00,497.90,502.90,-1.00,67080.00,33761555.00,-1,47
2024-12-19,512.00,514.00,508.00,508.00,-0.74,73723.00,37610350.00,-1,48
2024-12-18,501.80,520.40,501.80,511.80,-0.04,57475.00,29470230.70,-1,49
2024-12-17,513.00,518.00,509.10,512.00,-0.18,53169.00,27268731.10,-1,50
2024-12-16,520.00,524.00,509.70,512.90,-1.37,47147.00,24175344.30,-1,51
